"Status","Name","Duration in ms","Description"
"passed","Session 2019-3-1 07:04:15..setSpeed()","3",""
"passed","Session 2019-3-1 07:04:15..__changeResSpeed()","5",""
"passed","Session 2019-3-1 07:04:15..limitProxySpeed()","4",""
"passed","Session 2019-3-1 07:04:15..unlimitProxySpeed()","2",""
"passed","Session 2019-3-1 07:04:15..closeChrome()","2",""
"passed","Session 2019-3-1 07:04:15..__balance","1",""
"passed","Session 2019-3-1 07:04:15..resetProxySpeed()","5",""
"passed","Session 2019-3-1 07:04:15..clearProxyCache()","3",""
"passed","Session 2019-3-1 07:04:15..__onError()","10",""
"passed","Session 2019-3-1 07:04:15.._isChromeLaunched()","3",""
"passed","Session 2019-3-1 07:04:15..restartChrome()","1",""
"passed","Session 2019-3-1 07:04:15..setProxiedUrl()","4",""
"passed","Session 2019-3-1 07:04:15..restartHttpProxy()","2",""
"passed","Session 2019-3-1 07:04:15.._isHttpProxyLaunched()","3",""
"passed","Session 2019-3-1 07:04:15..__changeReqSpeed()","6",""
"passed","Session 2019-3-1 07:04:15..__promisify()","5",""
"passed","Session 2019-3-1 07:04:15..launchHttpProxy()","5",""
"passed","Session 2019-3-1 07:04:15.._checkProxy()","2",""
"passed","Session 2019-3-1 07:04:15..setProxySpeed()","3",""
"passed","Session 2019-3-1 07:04:15.plugin help contains option","7",""
"passed","Session 2019-3-1 07:04:15.config","1",""
"passed","Session 2019-3-1 07:04:15..restartGlobalProxy()","2",""
"passed","Session 2019-3-1 07:04:15.base proxy instance","6",""
"passed","Session 2019-3-1 07:04:15.Plugin lazy import","3",""
"passed","Session 2019-3-1 07:04:15..launchGlobalProxy()","6",""
"passed","Session 2019-3-1 07:04:15..disableProxyCache()","2",""
"passed","Session 2019-3-1 07:04:15..resetSpeed()","1",""
"passed","Session 2019-3-1 07:04:15..stopHttpProxy()","3",""
"passed","Session 2019-3-1 07:04:15..enableProxyCache()","3",""
"passed","Session 2019-3-1 07:04:15.._isGlobalProxyLaunched()","3",""
"passed","Session 2019-3-1 07:04:15..stopGlobalProxy()","8",""
"passed","Session 2019-3-1 07:04:15..launchChrome()","12",""
